"""Origen""","""Destino""","""Valor"""
'Castellon_Castello',' Madrid',249
'Castellon_Castello',' Malaga',35
'Castellon_Castello',' Murcia',53
'Castellon_Castello',' Navarra',25
'Castellon_Castello',' Ourense',7
'Castellon_Castello',' Palencia',4
'Castellon_Castello',' Palmas_ Las',24
'Castellon_Castello',' Pontevedra',32
'Castellon_Castello',' Rioja_ La',15
'Castellon_Castello',' Salamanca',26
'Castellon_Castello',' Santa Cruz de Tenerife',22
'Castellon_Castello',' Segovia',6
'Castellon_Castello',' Sevilla',39
'Castellon_Castello',' Soria',3
'Castellon_Castello',' Tarragona',252
'Castellon_Castello',' Teruel',102
'Castellon_Castello',' Toledo',29
'Castellon_Castello',' Valencia_València',853
'Castellon_Castello',' Valladolid',15
'Castellon_Castello',' Zamora',3
'Castellon_Castello',' Zaragoza',97
'Castellon_Castello',' Ceuta',2
'Castellon_Castello',' Melilla',14
'Ciudad Real',' Albacete',98
'Ciudad Real',' Alicante_Alacant',111
'Ciudad Real',' Almeria',31
'Ciudad Real',' Araba_alava',4
'Ciudad Real',' Asturias',12
'Ciudad Real',' avila',6
'Ciudad Real',' Badajoz',49
'Ciudad Real',' Balears_ Illes',36
'Ciudad Real',' Barcelona',101
'Ciudad Real',' Bizkaia',16
'Ciudad Real',' Burgos',10
'Ciudad Real',' Caceres',16
'Ciudad Real',' Cadiz',26
'Ciudad Real',' Cantabria',7
'Ciudad Real',' Castellon_Castello',15
'Ciudad Real',' Ciudad Real', 
'Ciudad Real',' Cordoba',70
'Ciudad Real',' Coruña_ A',12
'Ciudad Real',' Cuenca',36
'Ciudad Real',' Gipuzkoa',5
'Ciudad Real',' Girona',11
'Ciudad Real',' Granada',44
'Ciudad Real',' Guadalajara',28
'Ciudad Real',' Huelva',19
'Ciudad Real',' Huesca',4
'Ciudad Real',' Jaen',91
'Ciudad Real',' Leon',2
'Ciudad Real',' Lleida',7
'Ciudad Real',' Lugo',6
'Ciudad Real',' Madrid',568
'Ciudad Real',' Malaga',79
'Ciudad Real',' Murcia',67
'Ciudad Real',' Navarra',9
'Ciudad Real',' Ourense',6
'Ciudad Real',' Palencia',2
'Ciudad Real',' Palmas_ Las',16
'Ciudad Real',' Pontevedra',6
'Ciudad Real',' Rioja_ La',8
'Ciudad Real',' Salamanca',13
'Ciudad Real',' Santa Cruz de Tenerife',9
'Ciudad Real',' Segovia',5
'Ciudad Real',' Sevilla',44
'Ciudad Real',' Soria',4
'Ciudad Real',' Tarragona',11
'Ciudad Real',' Teruel',2
'Ciudad Real',' Toledo',219
'Ciudad Real',' Valencia_València',82
'Ciudad Real',' Valladolid',9
'Ciudad Real',' Zamora',4
'Ciudad Real',' Zaragoza',14
'Ciudad Real',' Ceuta',1
'Ciudad Real',' Melilla', 
'Cordoba',' Albacete',14
'Cordoba',' Alicante_Alacant',46
'Cordoba',' Almeria',48
'Cordoba',' Araba_alava',6
'Cordoba',' Asturias',13
'Cordoba',' avila',1
'Cordoba',' Badajoz',75
'Cordoba',' Balears_ Illes',88
'Cordoba',' Barcelona',170
'Cordoba',' Bizkaia',5
'Cordoba',' Burgos',3
'Cordoba',' Caceres',25
'Cordoba',' Cadiz',129
'Cordoba',' Cantabria',5
'Cordoba',' Castellon_Castello',7
'Cordoba',' Ciudad Real',81
'Cordoba',' Cordoba', 
'Cordoba',' Coruña_ A',12
'Cordoba',' Cuenca',13
'Cordoba',' Gipuzkoa',9
'Cordoba',' Girona',25
'Cordoba',' Granada',132
'Cordoba',' Guadalajara',8
'Cordoba',' Huelva',55
'Cordoba',' Huesca',17
'Cordoba',' Jaen',164
'Cordoba',' Leon',7
'Cordoba',' Lleida',12
'Cordoba',' Lugo',3
'Cordoba',' Madrid',253
'Cordoba',' Malaga',312
'Cordoba',' Murcia',55
